Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,NQR code,Qf link,pdf_number
Operator-Plastic Products Making (Plastic Toy/ Ball Pen),QG-04-RI-02035-2024-V1-RSDC,"The individual at work is responsible for the assembling, finishing and inspecting of plastic products.",Rubber Industry,Level 4,600 Hours,480 Hours,Version ,31 Jan 2024,30 Jan 2027,Rubber Chemical & Petrochemical Skills Development Council (RCPSDC),"Rubber, Chemical & Petrochemical Skill Development Council (RCPSDC)",Assembling and Finishing,CAD/CAM Designer- Plastic Products including Toys,General Qualification,N.A.,"{""Theory"":""210"",""Practical"":""300"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",QG-04-RI-02035-2024-V1-RSDC,https://www.nqr.gov.in/qualification/file/QFile_Operator_Plastic%20Products%20Making%20%28Plastic%20Toy%20Ball%20Pen%29,804
Biomedical Equipment Maintenance Assistant,QG-03-EH-01966-2024-V1-NIELIT,"The course delves into the tools and techniques used for servicing and maintaining medical equipment, including soldering, de-soldering, and the use of test and measuring instruments. It explores the fundamental concepts of electrical current, voltage, and power, enabling learners to understand the working principles of passive components like resistors, capacitors, and inductors. Active components, such as semiconductors and integrated circuits, are also covered in detail, providing insights into their design, testing, and applications in medical instrumentation.

Biomedical instrumentation and measurement form a crucial part of the course, covering topics such as the man-instrument system, physiological systems of the human body, sources of bio-electric potentials, and the use of microscopes. ECG machines, pH meters, patient monitors, and diagnostic equipment are thoroughly examined, including their working principles, testing procedures, and calibration techniques. The course concludes with a focus on employability skills, preparing learners for success in the medical equipment and devices industry.",Electronics & HW,Level 3,300 Hours,300 Hours,Version ,31 Jan 2024,31 Jan 2027,National Institute of Electronics and Information Technology (NIELIT),NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY,Electronics Equipment Services,Hospital Equipment Technician,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""120"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",QG-03-EH-01966-2024-V1-NIELIT,https://www.nqr.gov.in/qualification/file/QF_Biomedical%20Equipment%20Maintenance%20Assistant.pdf,805
In-Building Wireless Solution (IBS) Technician,QG-04-TL-01994-2024-V1-TSSC,"The individual at work is responsible for inspecting site readiness and conduct due diligence for survey, planning and installing inbuilding wireless solutions as per the client requirement.  They are also responsible for maintaining and troubleshooting the installed components in the commercial establishments as per the organization’s standards and procedures.",Telecom,Level 4,420 Hours,420 Hours,Version ,31 Jan 2024,31 Jan 2027,Telecom Sector Skill Council (TSSC),Telecom Sector Skill Council,In-Building Solution,"Vertical progression 
NSQF Level 4.5 – In-Building Wireless Solution (IBS) Senior Technician
Horizontal progression:
NSQF Level 4 – Quality Assurance Assistant",Future Skills Qualification,N.A.,"{""Theory"":""60"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",QG-04-TL-01994-2024-V1-TSSC,https://www.nqr.gov.in/qualification/file/QF-%20%28IBS%29%20Technician%20Eng-%20TEL_Q6701_v1.0.pdf,806
Dron-o-Grapher,QG-03-TL-01995-2024-V1-TSSC,"The individual in this job role is responsible for using drones to capture aerial footage and images for use in a variety of creative projects. They are also responsible for providing drone photography and videography, as well as the ability to work independently and as part of a team.",Telecom,Level 3,420 Hours,420 Hours,Version ,31 Jan 2024,31 Jan 2027,Telecom Sector Skill Council (TSSC),Telecom Sector Skill Council,Network Operation and Maintenance,"Vertical Progression -  
Level 3.5 - Drone Anurakshan Associate",Future Skills Qualification,N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",QG-03-TL-01995-2024-V1-TSSC,https://www.nqr.gov.in/qualification/file/QF%20-%20Dron-o-Grapher%20%28Eng%29-%20TEL_Q6221_v1.0.pdf,807
Telecom Electrician (Basic),QG-03-TL-01996-2024-V1-TSSC,"The individual in this job role is responsible for optimizing DC and AC circuits with RLC components, operates series and parallel circuits using simulation software, identify DC power supplies, tests power backup systems, and installs surge protection systems. The individual also ensures efficient and reliable telecommunications operations by troubleshooting, inspecting, and adhering to safety protocols.",Telecom,Level 3,390 Hours,390 Hours,Version ,31 Jan 2024,31 Jan 2027,Telecom Sector Skill Council (TSSC),Telecom Sector Skill Council,"Customer Service/
Passive Infrastructure","Vertical progression 
NSQF Level 4 – Telecom Electrician (Advanced)",General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""120""}",QG-03-TL-01996-2024-V1-TSSC,https://www.nqr.gov.in/qualification/file/QF%20-%20Telecom%20Electrician%20%28Basic%29%20%28Eng%29-%20TEL_Q4304_v1.0.pdf,808
Telecom Electrician (Advanced),QG-04-TL-01997-2024-V1-TSSC,"The individual in this job role is responsible for installing and maintaining inverters and battery 
banks, designing and installing one-phase and three-phase electrical systems at cell sites. The 
individual also ensures efficient and reliable telecommunications operations by troubleshooting, 
inspecting, and adhering to safety protocols.",Telecom,Level 4,450 Hours,450 Hours,Version ,31 Jan 2024,31 Jan 2027,Telecom Sector Skill Council (TSSC),Telecom Sector Skill Council,"Customer Service/
Passive Infrastructure","Vertical progression 
(Level – 5) Lead Telecom Electrician",General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",QG-04-TL-01997-2024-V1-TSSC,https://www.nqr.gov.in/qualification/file/QF%20-%20Telecom%20Electrician%20%28Advanced%29%20%28Eng%29%20-%20TEL_Q4303_v1.0%20%282%29.pdf,809
Law Officer (Energy Sector),QG-06-HY-02187-2024-V1-HSSCI & V-1.0,"A law Officer professional, often a Chief Legal Officer or General Counsel, oversees legal affairs within an organization. This job role includes providing strategic legal advice, managing regulatory compliance, negotiating contracts, and representing the organization in legal matters. This role requires strong leadership, exceptional legal acumen, and the ability to align legal strategies with overall business objectives.",Hydrocarbon,Level 6,570 Hours,570 Hours,Version ,15 Mar 2024,14 Mar 2027,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Legal,Senior Law Officer,General Qualification,N.A.,"{""Theory"":""160"",""Practical"":""320"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",QG-06-HY-02187-2024-V1-HSSCI & V-1.0,https://www.nqr.gov.in/qualification/file/STT-QF_%20Law%20Officer%20%28Energy%20Sector%29.pdf,810
Concepts of Green Hydrogen,NM-03-HY-02246-2024-V1-HSSCI & V-1.0,"The Concepts of Green Hydrogen will enable impart a basic understating and curiosity about the emerging field of Green Hydrogen.  The pedagogy involved will be a mix of lectures, tutorials and practical training/exposure on green hydrogen systems.  By attending this course, the school students shall be able to learn:
•	Fundamentals about energy and specifically about hydrogen energy  
•	Generic information about Production, Storage, Transportation and Applications of green hydrogen.
•	Scope for further studies about technological advancements, as well as potential career opportunities in the growing field of hydrogen energy.",Hydrocarbon,Level 3,30 Hours,30 Hours,Version ,15 Mar 2024,14 Mar 2027,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,"Hydrogen Production, Storage & Transportation",,Future Skills Qualification,N.A.,"{""Theory"":""20"",""Practical"":""10"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NM-03-HY-02246-2024-V1-HSSCI & V-1.0,https://www.nqr.gov.in/qualification/file/Q%20File_Concepts%20of%20Green%20Hydrogen.pdf,811
Emergency Communication Practices (Energy Sector),NM-05-HY-02245-2024-V1-HSSCI & V-1.0,"Individual at this job is responsible to equip in essential communication strategies tailored specifically for the unique challenges of oil and gas sector. Individuals will have developed practical communication skill necessary for conveying complex information accurately, building professional relationship and contributing to the success of oil and gas projects. Additionally, He/she will gain insights into cultural sensitivity and communicating with diverse teams’ global oil and gas operations.",Hydrocarbon,Level 5,30 Hours,30 Hours,Version ,15 Mar 2024,14 Mar 2027,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,HSE Common,,General Qualification,N.A.,"{""Theory"":""18"",""Practical"":""12"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NM-05-HY-02245-2024-V1-HSSCI & V-1.0,https://www.nqr.gov.in/qualification/file/Q%20File_Emergency%20Communication%20Practices%20%28Energy%20Sector%29.pdf,812
Green Hydrogen Refueling Station Design,NM-06-HY-02247-2024-V1-HSSCI & V-1.0,"Hydrogen refueling station (HRS) is required to support the infrastructure necessary for fueling hydrogen-powered vehicles. Hydrogen fuel cell vehicles (FCVs) are a promising alternative to traditional gasoline or diesel vehicles, offering several environmental and energy-related benefits.
Designing a hydrogen refueling station (HRS) involves numerous technical considerations to ensure safety, efficiency, and compliance with industry standards.",Hydrocarbon,Level 6,30 Hours,30 Hours,Version ,15 Mar 2024,14 Mar 2027,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,"Hydrogen Production, Storage & Transportation",,Future Skills Qualification,N.A.,"{""Theory"":""20"",""Practical"":""10"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NM-06-HY-02247-2024-V1-HSSCI & V-1.0,https://www.nqr.gov.in/qualification/file/Q%20File%20Green%20Hydrogen%20Refuelling%20Station%20Design.pdf,813
Green Hydrogen Vehicle Maintenance,NM-04-HY-02249-2024-V1-HSSCI & V-1.0,"The individual at this job needs to know the repair and maintenance requirements of a hydrogen fuel vehicle, along with developing a knowledge about new risks associated with hydrogen driven vehicles, learning to handle high pressure, the high voltage and a gaseous fuel makes that the risks differ from conventional vehicles.",Hydrocarbon,Level 4,30 Hours,30 Hours,Version ,15 Mar 2024,14 Mar 2027,Hydrocarbon Sector Skill Council (HSSCI),Hydrocarbon Sector Skill Council,Maintenance,,Future Skills Qualification,N.A.,"{""Theory"":""20"",""Practical"":""10"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NM-04-HY-02249-2024-V1-HSSCI & V-1.0,https://www.nqr.gov.in/qualification/file/Q%20File%20Green%20Hydrogen%20Vehicle%20Maintenance.pdf,814
Sales Executive (Banking & Finance),QG-3.5-BF-02169-2024-V1-CII,"Individuals in this role will be responsible for promoting and selling the financial products (Banking, Insurance etc.)  and services to individual and corporate customers. He/she plays a crucial role in achieving sales targets, credit cards selling, new account opening, building customer relationships, and contributing to the overall growth and business development of the bank.",BFSI,Level 3.5,900 Hours,900 Hours,Version ,15 Mar 2024,14 Mar 2027,Confederation of Indian Industries (CII),Confederation of Indian Industry,Sales and Marketing,Sr. Sales Executive – (Banking & Finance) (NSQF Level 4),OEM Qualification,N.A.,"{""Theory"":""120"",""Practical"":""240"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""510""}",QG-3.5-BF-02169-2024-V1-CII,https://www.nqr.gov.in/qualification/file/QFiles_Sales%20Executive%20%28Banking%20&%20Finance%29%20Eng.pdf,815
Basic Sanitization and Infection Control at Workplace,NM-2.5-HE-02101-2024-V1-HSSC,This program is about following ways for sanitization to prevent the spread of infection as per sectoral working requirements.,Healthcare,Level 2.5,7.5 Hours,7.5 Hours,Version ,31 Jan 2024,31 Jan 2027,Healthcare Sector Skill Council (HSSC),Healthcare Sector Skill Council,Community Health Services,,General Qualification,N.A.,"{""Theory"":""3"",""Practical"":""4"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NM-2.5-HE-02101-2024-V1-HSSC,https://www.nqr.gov.in/qualification/file/Micro%20Credential%20QFile_Basic%20Sanitizationa%20and%20Infection%20Control%20at%20Workplace.pdf,816
Basic Cardiopulmonary Life Support,NM-04-HE-02104-2024-V1-HSSC,"Demonstrate technical skills to provide high-quality chest compressions, using automated external defibrillators (AED) and relieving airway obstructions in patients/victim who is experiencing cardiac arrest, respiratory distress or an obstructed airway.",Healthcare,Level 4,7.5 Hours,7.5 Hours,Version ,31 Jan 2024,31 Jan 2027,Healthcare Sector Skill Council (HSSC),Healthcare Sector Skill Council,,,General Qualification,N.A.,"{""Theory"":""3"",""Practical"":""4"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NM-04-HE-02104-2024-V1-HSSC,https://www.nqr.gov.in/qualification/file/Micro-Credential_Qualification-File-Basic%20CardioPulmonary%20Life%20Support.pdf,817
Industrial safety for semiconductor manufacturing - Electrical,NG-05-EH-02093-2024-V1-ESSC,"Industrial Safety in the Semiconductor Manufacturing – Electrical, plays a vital role in maintaining the safety and well-being of employees, protecting the environment, and ensuring the company's adherence to regulatory requirements. Their work helps prevent accidents, reduce risks, and create a safer and more productive work environment.",Electronics & HW,Level 5,60 Hours,60 Hours,Version ,31 Jan 2024,31 Jan 2027,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Safety,Advanced Program on Industrial Safety Lead in the Semiconductors,Future Skills Qualification,N.A.,"{""Theory"":""30"",""Practical"":""30"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NG-05-EH-02093-2024-V1-ESSC,https://www.nqr.gov.in/qualification/file/QFile_Industrial%20Safety%20for%20Semiconductor%20Manufacturing%20-%20Electrical.pdf,818
Industrial safety for semiconductor manufacturing - Hazchem,NG-05-EH-02094-2024-V1-ESSC,"Industrial Safety in the Semiconductor Manufacturing – Hazchem play a vital role in maintaining the safety and well-being of employees, protecting the environment, and ensuring the company's adherence to regulatory requirements. Their work helps prevent accidents, reduce risks, and create a safer and more productive work environment.",Electronics & HW,Level 5,60 Hours,60 Hours,Version ,31 Jan 2024,31 Jan 2027,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Safety,Advanced Program on Industrial Safety Lead in the Semiconductors,Future Skills Qualification,N.A.,"{""Theory"":""30"",""Practical"":""30"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NG-05-EH-02094-2024-V1-ESSC,https://www.nqr.gov.in/qualification/file/QFile_Industrial%20Safety%20for%20Semiconductor%20Manufacturing%20-%20Hazchem.pdf,819
Sous Chef,QG-5.5-TH-02004-2024-V1-THSC,"The individual at work is responsible for monitoring the kitchen operations, supervising the kitchen brigade and assisting the Executive Chef in preparation of menu and departmental budget.",Tourism & Hospitality,Level 5.5,690 Hours,690 Hours,Version ,31 Jan 2024,31 Jan 2027,Tourism and Hospitality Skill Council (THSC),"Tourism and Hospitality Skill Council
#1216-1220, 12th Floor, Naurang House, Kasturba Gandhi Marg, Connaught Place 
New Delhi – 110001, Landline # 011-41608056/8057 Ext.1102",Food Production and Kitchen,Sous Chef-->Executive Chef-->Corporate Chef,Cross Sectoral Qualification,N.A.,"{""Theory"":""340"",""Practical"":""230"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""120""}",QG-5.5-TH-02004-2024-V1-THSC,https://www.nqr.gov.in/qualification/file/QFile_Sous%20Chef_Level%20ENG.pdf,820
Restaurant Manager,QG-5.5-TH-02010-2024-V1-THSC,"The individual at work develops strategies to grow the restaurant and catering business. The incumbent
operates existing and/or new business profitably, besides managing financial, administrative, security
matters, and fulfilling legal compliances.",Tourism & Hospitality,Level 5.5,630 Hours,630 Hours,Version ,31 Jan 2024,31 Jan 2027,Tourism and Hospitality Skill Council (THSC),"Tourism and Hospitality Skill Council
#1216-1220, 12th Floor, Naurang House, Kasturba Gandhi Marg, Connaught Place 
New Delhi – 110001, Landline # 011-41608056/8057 Ext.1102",Food Production and Kitchen,Food and Beverage Service Manager,Cross Sectoral Qualification,N.A.,"{""Theory"":""220"",""Practical"":""290"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""120""}",QG-5.5-TH-02010-2024-V1-THSC,https://www.nqr.gov.in/qualification/file/QFiles_Restaurant%20Manager%20ENG.pdf,821
Revenue Manager,QG-5.5-TH-02016-2024-V1-THSC,"The individual at work develops pricing strategies and forecasts the revenue for hotels and other lodging establishments while working closely with sales teams, reception desk employees and the hotel senior management in areas of promotion, business planning and reservation costs.",Tourism & Hospitality,Level 5.5,660 Hours,660 Hours,Version ,31 Jan 2024,27 Jan 2027,Tourism and Hospitality Skill Council (THSC),"Tourism and Hospitality Skill Council
#1216-1220, 12th Floor, Naurang House, Kasturba Gandhi Marg, Connaught Place 
New Delhi – 110001, Landline # 011-41608056/8057 Ext.1102",Front Oﬃce Management,Front Office manager,General Qualification,N.A.,"{""Theory"":""205"",""Practical"":""275"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""180""}",QG-5.5-TH-02016-2024-V1-THSC,https://www.nqr.gov.in/qualification/file/QFile_Revenue%20Manager%20ENG.pdf,822
Kitchen Stewarding Shift Incharge,QG-3.5-TH-02000-2024-V1-THSC,"The individual at work operates roadside eatery by creating the necessary infrastructure, arranging resources, 
and managing inventory, finances, staff and operations.",Tourism & Hospitality,Level 3.5,420 Hours,420 Hours,Version ,31 Jan 2024,31 Jan 2027,Tourism and Hospitality Skill Council (THSC),"Tourism and Hospitality Skill Council
#1216-1220, 12th Floor, Naurang House, Kasturba Gandhi Marg, Connaught Place 
New Delhi – 110001, Landline # 011-41608056/8057 Ext.1102",Food Production and Kitchen,Commis,General Qualification,N.A.,"{""Theory"":""164"",""Practical"":""196"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""60""}",QG-3.5-TH-02000-2024-V1-THSC,https://www.nqr.gov.in/qualification/file/QFile_Kitchen%20Stewarding%20Shift%20Incharge.pdf,823
Kitchen Trainee,QG-03-TH-01999-2024-V1-THSC,"The individual at work helps the Commis in receiving and storing kitchen supplies, carrying out basic food preparation tasks as per instructions and maintaining cleanliness in the kitchen.`",Tourism & Hospitality,Level 3,390 Hours,390 Hours,Version ,31 Jan 2024,31 Jan 2027,Tourism and Hospitality Skill Council (THSC),"Tourism and Hospitality Skill Council
#1216-1220, 12th Floor, Naurang House, Kasturba Gandhi Marg, Connaught Place 
New Delhi – 110001, Landline # 011-41608056/8057 Ext.1102",Food Production and Kitchen,Kitchen Trainee -->Kitchen Stewarding Shift In charge --> Commis,Cross Sectoral Qualification,N.A.,"{""Theory"":""162"",""Practical"":""198"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""30""}",QG-03-TH-01999-2024-V1-THSC,https://www.nqr.gov.in/qualification/file/QFile_Kitchen%20Trainee%20ENG.pdf,824
Laundry Supervisor,QG-05-TH-02021-2024-V1-THSC,"The Individual at work assigns and reviews the work of laundry staﬀ engaged in receiving, washing, ironing, packaging and delivering laundry to various departments or guests and manages other daily operations of laundry service department.",Tourism & Hospitality,Level 5,660 Hours,660 Hours,Version ,31 Jan 2024,31 Jan 2027,Tourism and Hospitality Skill Council (THSC),"Tourism and Hospitality Skill Council
#1216-1220, 12th Floor, Naurang House, Kasturba Gandhi Marg, Connaught Place 
New Delhi – 110001, Landline # 011-41608056/8057 Ext.1102",Housekeeping,Housekeeping Manager,General Qualification,N.A.,"{""Theory"":""205"",""Practical"":""275"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""180""}",QG-05-TH-02021-2024-V1-THSC,https://www.nqr.gov.in/qualification/file/QFile_Laundry%20Supervisor%20ENG.pdf,825
Restaurant Captain,QG-05-TH-02009-2024-V1-THSC,"The individual at work supervises food and beverage services, maintains the related inventory and ensures cleanliness in the food and beverage service area to provide an excellent dining experience to guests.",Tourism & Hospitality,Level 5,540 Hours,540 Hours,Version ,31 Jan 2024,31 Jan 2027,Tourism and Hospitality Skill Council (THSC),"Tourism and Hospitality Skill Council
#1216-1220, 12th Floor, Naurang House, Kasturba Gandhi Marg, Connaught Place 
New Delhi – 110001, Landline # 011-41608056/8057 Ext.1102","Tourism and Hospitality Skill Council
#1216-1220, 12th Floor, Naurang House, Kasturba Gandhi Marg, Connaught Place 
New Delhi – 110001, Landline # 011-41608056/8057 Ext.1102",Restaurant Manager,General Qualification,N.A.,"{""Theory"":""159"",""Practical"":""201"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""180""}",QG-05-TH-02009-2024-V1-THSC,https://www.nqr.gov.in/qualification/file/QFile_Restaurant%20Captain%20ENG.pdf,826
Housekeeping Assistant,QG-03-TH-02018-2024-V1-THSC,"The individual at work keeps all rooms and assigned areas clean and tidy to ensure that guests have a
memorable experience at the hotel. The person also needs to carry out other housekeeping activities as
required.",Tourism & Hospitality,Level 3,360 Hours,360 Hours,Version ,31 Jan 2024,31 Jan 2027,Tourism and Hospitality Skill Council (THSC),"Tourism and Hospitality Skill Council
#1216-1220, 12th Floor, Naurang House, Kasturba Gandhi Marg, Connaught Place 
New Delhi – 110001, Landline # 011-41608056/8057 Ext.1102",Housekeeping,Guest Service Associate (Housekeeping),General Qualification,N.A.,"{""Theory"":""105"",""Practical"":""165"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""90""}",QG-03-TH-02018-2024-V1-THSC,https://www.nqr.gov.in/qualification/file/QFile_%20Housekeeping%20Assistant%20ENGLISH.pdf,827
Machining and Assembly Technician,QG-3.5-AU-01360-2023-V1-ASDC,A Diploma in Manufacturing Technology is a specialized educational program that focuses on providing students with practical skills and theoretical knowledge related to various aspects of manufacturing processes and technologies.,Automotive,Level 3.5,1200 Hours,1200 Hours,Version ,30 Nov 2023,30 Nov 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Production,"Fabrication and Service Technician, Level-4",OEM Qualification,N.A.,"{""Theory"":""216"",""Practical"":""432"",""EmployabilitySkills"":""120"",""OJT_Mandatory"":""432""}",QG-3.5-AU-01360-2023-V1-ASDC,https://www.nqr.gov.in/qualification/file/QF-1st%20Year-Diploma%20in%20Manufacturing%20Technology.pdf,828
Fabrication and Service Technician,QG-04-AU-01361-2023-V1-ASDC,"A Diploma in Manufacturing Technology is a specialized educational program that focuses on providing students with practical skills and theoretical knowledge related to various aspects of manufacturing processes and technologies. 2nd Year Curriculum majorly focuses on Advance Manufacturing, Industrial Automation, Quality Control & Assurance , Industry 4.0 Concepts.",Automotive,Level 4,1200 Hours,1200 Hours,Version ,30 Nov 2023,30 Nov 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Production,"Manufacturing and Mechatronics Lead Technician, Level-4.5",OEM Qualification,N.A.,"{""Theory"":""216"",""Practical"":""432"",""EmployabilitySkills"":""120"",""OJT_Mandatory"":""432""}",QG-04-AU-01361-2023-V1-ASDC,https://www.nqr.gov.in/qualification/file/QF-2nd%20Year-Diploma%20in%20Manufacturing%20Technology.pdf,829
Manufacturing and Mechatronics Lead Technician,QG-4.5-AU-01362-2023-V1-ASDC,"A Diploma in Manufacturing Technology is a specialized educational program that focuses on providing students with practical skills and theoretical knowledge related to various aspects of manufacturing processes and technologies. 3rd Year Curriculum majorly focuses on Advance Manufacturing, Industrial Automation, Quality Control & Assurance, Industry 4.0 Concepts.",Automotive,Level 4.5,1200 Hours,1200 Hours,Version ,30 Nov 2023,30 Nov 2026,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Production,"Manufacturing and Mechatronics Master Technician, Level-5
Advance Diploma in Manufacturing, Level-5",OEM Qualification,N.A.,"{""Theory"":""216"",""Practical"":""432"",""EmployabilitySkills"":""120"",""OJT_Mandatory"":""432""}",QG-4.5-AU-01362-2023-V1-ASDC,https://www.nqr.gov.in/qualification/file/QF-3rd%20Year-Diploma%20in%20Manufacturing%20Technology.pdf,830
Junior Supervisor - IoT Application (Supply Chain),QG-4.5-TW-01971-2024-V1-TNSDC,"The  Junior Supervisor - IoT Application (Supply Chain) is responsible for strategizing, implementing, and managing IoT solutions. This role optimizes logistics operations by leveraging IoT technology, ensuring efficient tracking, data analysis, and system integration to enhance productivity, reduce costs, and improve customer satisfaction in the supply chain industry.","Transportation, Logistics & Warehousing",Level 4.5,570 Hours,570 Hours,Version ,31 Jan 2024,31 Jan 2027,Tamil Nadu Skill Development Corporation (TNSDC),TAMIL NADU SKILL DEVELOPMENT CORPORATION,Application and Reporting,Supervisor IoT application (Supply Chain),Future Skills Qualification,N.A.,"{""Theory"":""170"",""Practical"":""220"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",QG-4.5-TW-01971-2024-V1-TNSDC,https://www.nqr.gov.in/qualification/file/Qualifications%20File_BB%2007052024.pdf,831
Advanced Course in Data Analysis (Manufacturing),NG-5.5-AU-02228-2024-V1-ASDC,"An Individual at this job plays a critical role in leveraging advanced analytics and data-driven insights to optimize manufacturing processes, enhance efficiency, and drive continuous improvement. The role involves working with complex datasets, applying advanced statistical methods, and collaborating with cross-functional teams to make informed decisions and shape the future of manufacturing.",Automotive,Level 5.5,60 Hours,60 Hours,Version ,15 Mar 2024,15 Mar 2027,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Production Engineering,"Advanced Manufacturing Data Visualization, Level-5.5",Future Skills Qualification,N.A.,"{""Theory"":""15"",""Practical"":""45"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NG-5.5-AU-02228-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/QF-NOS-Advan%20Manufacturing%20Data.pdf,832
Foundation course in Data Analysis (Manufacturing),NG-5.5-AU-02227-2024-V1-ASDC,"As an Individual responsibility is to collect, prepare, and process data generated in the manufacturing process and result will contribute to informed decision-making, process optimization, and overall efficiency improvement within the manufacturing environment.",Automotive,Level 5.5,60 Hours,60 Hours,Version ,15 Mar 2024,15 Mar 2027,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Production Engineering,"Advanced Manufacturing Data Analysis, Level-5.5",Future Skills Qualification,N.A.,"{""Theory"":""15"",""Practical"":""45"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NG-5.5-AU-02227-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/QF-NOS-Foundation%20course%20in%20Manufacturing%20Data%20Analysis.pdf,833
Foundation course in Flex Fuel Engine Design,NG-5.5-AU-02233-2024-V1-ASDC,This NOS unit is about performing tasks related to designing of mechanical-electronic parts of FFV systems and Engine Management system as well as analysis of the effects of Ethanol blend ratios through CAE simulation.,Automotive,Level 5.5,60 Hours,60 Hours,Version ,15 Mar 2024,15 Mar 2027,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Automotive Product Designing,,Future Skills Qualification,N.A.,"{""Theory"":""15"",""Practical"":""45"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NG-5.5-AU-02233-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/Q%20File_FlexFuelEngineDesign%28FFE%29_27feb24-final.pdf,834
Fundamentals of Automotive Functional Safety Design,NG-5.5-AU-02234-2024-V1-ASDC,This NOS unit is about preparing comprehensively to perform design-analysis-development-validation of safety systems with the understanding of statutory and industry standards pertaining to functional safety. This NOS unit is about performing engineering design and the product development of Electrical/Electronic (E/E) systems It’s about performing simulations (CAE) of CAD models (mechanical & electrical) to best correlate with the physical tests (lab & field).,Automotive,Level 5.5,60 Hours,60 Hours,Version ,15 Mar 2024,15 Mar 2027,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,"Automotive Product
Designing",,Future Skills Qualification,N.A.,"{""Theory"":""15"",""Practical"":""45"",""EmployabilitySkills"":""00"",""OJT_Mandatory"":""00""}",NG-5.5-AU-02234-2024-V1-ASDC,https://www.nqr.gov.in/qualification/file/Q%20File_Automotive%20Functional%20Safety_27feb24-final.pdf,835
